hbid_id,hbid_id_ds,basin_name,hbid_name,catchment,catchment_,area_km2,country,brazil_UF,basin_ID
7002,-999,"North Brazil, South Atlantic Coast",Gurupi,c7002,outlet,34815.170402038915,Brazil,PA,AMZ_OTCA
7006,-999,"North Brazil, South Atlantic Coast",Pindare,c7006,outlet,30420.81938575005,Brazil,MA,AMZ_OTCA
12084,12076,La Plata,Sao Lourenco 1,c12084,c12076,14020.990136866187,Brazil,MS,AMZ_OTCA
12089,12084,La Plata,Sao Lourenco 2,c12089,c12084,10384.628101132153,Brazil,MT,AMZ_OTCA
12094,12076,La Plata,Paraguay 5,c12094,c12076,27497.68690120618,Brazil,MT,AMZ_OTCA
12097,12094,La Plata,Sepotuba,c12097,c12094,9902.256510164372,Brazil,MT,AMZ_OTCA
6027,6004,Tocantins,Tocantins 2,c6027,c6004,32850.04760350005,Brazil,MA,Tocantins
7008,-999,"North Brazil, South Atlantic Coast",Mearim,c7008,outlet,37008.588741069485,Brazil,MA,AMZ_OTCA
6004,-999,Tocantins,Tocantins 1,c6004,outlet,36377.92435480935,Brazil,PA,Tocantins
4004,-999,"Northeast South America, South Atlantic Coast",Pomeroon,c4004,outlet,8338.609298262878,Guyana,,AMZ_OTCA
3042,3029,Orinoco,Orinoco 7,c3042,c3029,12473.808226427818,Colombia,,AMZ_OTCA
3044,3042,Orinoco,Guaviare 1,c3044,c3042,13345.598407784362,Colombia,,AMZ_OTCA
3045,3044,Orinoco,Uva,c3045,c3044,9180.535922851313,Colombia,,AMZ_OTCA
3047,3044,Orinoco,Guaviare 2,c3047,c3044,26518.46816317386,Colombia,,AMZ_OTCA
3048,3047,Orinoco,Guayabero,c3048,c3047,24237.936909982538,Colombia,,AMZ_OTCA
3050,3042,Orinoco,Atabapo,c3050,c3042,12475.906018332034,Colombia,,AMZ_OTCA
4002,-999,"Northeast South America, South Atlantic Coast",Barima,c4002,outlet,13483.742755277923,Guyana,,AMZ_OTCA
4009,4008,"Northeast South America, South Atlantic Coast",Cuyuni,c4009,c4008,32215.50468186052,Guyana,,AMZ_OTCA
4013,-999,"Northeast South America, South Atlantic Coast",Demerara,c4013,outlet,12514.845300874813,Guyana,,AMZ_OTCA
4014,-999,"Northeast South America, South Atlantic Coast",Berbice,c4014,outlet,18132.94274909303,Guyana,,AMZ_OTCA
4021,-999,"Northeast South America, South Atlantic Coast",Nickerie,c4021,outlet,14391.090063149166,Suriname,,AMZ_OTCA
4023,-999,"Northeast South America, South Atlantic Coast",Saramacca,c4023,outlet,9883.916669208369,Suriname,,AMZ_OTCA
4025,-999,"Northeast South America, South Atlantic Coast",Cottica,c4025,outlet,7853.919511310518,Suriname,,AMZ_OTCA
4026,-999,"Northeast South America, South Atlantic Coast",Maroni,c4026,outlet,8851.471911031684,Suriname,,AMZ_OTCA
4028,4026,"Northeast South America, South Atlantic Coast",Lawa,c4028,c4026,14520.414713549017,Suriname,,AMZ_OTCA
4029,4028,"Northeast South America, South Atlantic Coast",Itany,c4029,c4028,15009.043682070125,Suriname,AP,AMZ_OTCA
4027,4026,"Northeast South America, South Atlantic Coast",Tapanahoni,c4027,c4026,19738.660157047547,Suriname,PA,AMZ_OTCA
4034,-999,"Northeast South America, South Atlantic Coast",Oyapock,c4034,outlet,26837.57412463374,Brazil,AP,AMZ_OTCA
5002,-999,Amazon,Ilha de Marajo,c5002,outlet,44547.23094564632,Brazil,PA,AMZ_OTCA
5004,5003,Amazon,Xingu 1,c5004,c5003,14662.16052753935,Brazil,PA,Xingu
5017,5013,Amazon,Xingu 4,c5017,c5013,38842.84220242094,Brazil,PA,Xingu
